Business,Total_Quantity,Transaction_Frequency,Total_Value,Segment,Segment_Label
Business-a8d7,825,548,1460335.0,1,Medium Value
Business-a8da,1916,652,1466435.0,1,Medium Value
Business-a8db,2167,423,1226636.0,1,Medium Value
Business-a8e1,26,21,55322.0,0,Low Value
Business-a8ea,28,10,43120.0,0,Low Value
Business-a8ef,109,101,206931.0,0,Low Value
Business-a8fc,1,1,475.0,0,Low Value
Business-a8ff,2,2,8400.0,0,Low Value
Business-a91c,414,294,543351.0,1,Medium Value
Business-a91e,7,4,8230.0,0,Low Value
Business-a928,6,5,6600.0,0,Low Value
Business-a92a,3,3,9820.0,0,Low Value
Business-a939,31,11,25875.0,0,Low Value
Business-a987,1,1,4430.0,0,Low Value
Business-a990,4,4,2910.0,0,Low Value
Business-a995,6,6,7507.0,0,Low Value
Business-a999,125,79,143028.0,0,Low Value
Business-a99f,5,5,7255.0,0,Low Value
Business-a9a7,32,23,43564.0,0,Low Value
Business-a9ab,3,3,11610.0,0,Low Value
Business-a9be,202,52,105864.0,0,Low Value
Business-a9c0,23,23,54875.0,0,Low Value
Business-a9c4,17,10,8753.0,0,Low Value
Business-a9d9,3,1,4260.0,0,Low Value
Business-a9dd,37,23,49100.0,0,Low Value
Business-aa04,1,1,1510.0,0,Low Value
Business-aa2b,44,32,107080.0,0,Low Value
Business-aa2e,13,12,17065.0,0,Low Value
Business-aa33,74,20,51980.0,0,Low Value
Business-aa3d,54,5,11420.0,0,Low Value
Business-aa41,11,11,29120.0,0,Low Value
Business-aa55,19,17,42450.0,0,Low Value
Business-aa59,50,38,59065.0,0,Low Value
Business-aa71,501,383,752581.0,1,Medium Value
Business-aa74,113,42,116465.0,0,Low Value
Business-aa79,3,3,11500.0,0,Low Value
Business-aa89,4,4,17200.0,0,Low Value
Business-aab8,292,257,661227.0,1,Medium Value
Business-aabd,40,39,97650.0,0,Low Value
Business-aac2,1032,564,1577334.0,1,Medium Value
Business-aad4,997,833,1873716.0,1,Medium Value
Business-aadf,4,4,7790.0,0,Low Value
Business-aae9,135,119,159854.0,0,Low Value
Business-aaef,407,162,313368.0,0,Low Value
Business-ab02,39,38,69925.0,0,Low Value
Business-ab0b,1,1,1745.0,0,Low Value
Business-ab10,1,1,4040.0,0,Low Value
Business-ab1f,1,1,6715.0,0,Low Value
Business-ab40,304,196,312328.0,0,Low Value
Business-ab4d,13,9,20175.0,0,Low Value
Business-ab52,48,32,73940.0,0,Low Value
Business-ab77,30,29,48835.0,0,Low Value
Business-ab8c,78,42,79295.0,0,Low Value
Business-aba8,267,252,568831.0,1,Medium Value
Business-abae,82,32,48346.0,0,Low Value
Business-abb1,9,7,4815.0,0,Low Value
Business-abb8,3,2,5795.0,0,Low Value
Business-abc4,2,2,3575.0,0,Low Value
Business-abc5,12,5,14330.0,0,Low Value
Business-abca,506,470,1013310.0,1,Medium Value
Business-abcb,170,82,115107.0,0,Low Value
Business-abe0,220,56,107760.0,0,Low Value
Business-abed,3,3,13590.0,0,Low Value
Business-abf9,208,207,287877.0,0,Low Value
Business-abfe,2,2,11000.0,0,Low Value
Business-ac0d,7,4,8160.0,0,Low Value
Business-ac16,86,22,49539.0,0,Low Value
Business-ac17,267,94,243910.0,0,Low Value
Business-ac29,8,8,27020.0,0,Low Value
Business-ac50,38,27,33350.0,0,Low Value
Business-ac5a,2,1,2450.0,0,Low Value
Business-ac5b,25,2,4080.0,0,Low Value
Business-ac5d,14,10,17655.0,0,Low Value
Business-ac67,2,2,2565.0,0,Low Value
Business-ac7e,34,24,57670.0,0,Low Value
Business-ac82,15,14,21225.0,0,Low Value
Business-ace3,2,2,3100.0,0,Low Value
Business-ace9,206,13,39360.0,0,Low Value
Business-acff,18,16,31240.0,0,Low Value
Business-ad1f,57,35,87512.0,0,Low Value
Business-ad5a,93,59,114665.0,0,Low Value
Business-ad63,23,21,28175.0,0,Low Value
